#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Mon Feb 05 11:21:01 EST 2018,41,41,Assignment1Suite,ClearTest1+ GetTest1+ InsertTest3+ SizeTest0+ SizeTest1+ SizeTest2+ SizeTest3+ , ,ClearTest0- EverythingTest0- GetTest0- InsertTest0- InsertTest1- InsertTest2- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- , ,
1,Mon Feb 05 11:26:04 EST 2018,70,29,Assignment1Suite,ClearTest0+ ClearTest1 GetTest1 InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3 RemoveTest3+ SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EverythingTest0 GetTest0 RemoveTest0 RemoveTest1 RemoveTest2 , ,
2,Mon Feb 05 11:28:14 EST 2018,100,30,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0+ GetTest0+ GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
